"SourceOrder","Category","NameEn","NameZh","DescriptionEn","DescriptionZh","Metric","Target","SourceId","SourceUrl","IconUrl"
"14","PackSize","3XL Packs Expert","3XL卡包专家","Complete 4 3XL Packs.","完成4个3XL卡包。","CompletedPacks3XL","4","304394","https://www.exophase.com/achievement/puffies-apple/304394-3xl-packs-expert","https://m.exophase.com/apple/awards/s/b8443d1d.png"
"15","Volume","Silver Collector","白银收藏家","Complete 45 Packs of Vol. 2.","完成第2卷中的45个卡包。","CompletedPacksVolume2","45","304419","https://www.exophase.com/achievement/puffies-apple/304419-silver-collector","https://m.exophase.com/apple/awards/s/j0ee4bbg.png"
"16","Volume","Gold Collector","黄金收藏家","Complete 10 Packs of Vol. 3.","完成第3卷中的10个卡包。","CompletedPacksVolume3","10","304420","https://www.exophase.com/achievement/puffies-apple/304420-gold-collector","https://m.exophase.com/apple/awards/s/13jjg55b.png"
"17","Volume","Platinum Collector","铂金收藏家","Complete 10 Packs of Vol. 4.","完成第4卷中的10个卡包。","CompletedPacksVolume4","10","304421","https://www.exophase.com/achievement/puffies-apple/304421-platinum-collector","https://m.exophase.com/apple/awards/s/3566j353.png"
"18","Volume","Ruby Collector","红宝石收藏家","Complete 4 Packs of Vol. 5.","完成第5卷中的4个卡包。","CompletedPacksVolume5","4","304422","https://www.exophase.com/achievement/puffies-apple/304422-ruby-collector","https://m.exophase.com/apple/awards/s/7755gj77.png"
"19","Volume","Magic Collector","魔法收藏家","Complete 4 Packs of Vol. 6.","完成第6卷中的4个卡包。","CompletedPacksVolume6","4","304423","https://www.exophase.com/achievement/puffies-apple/304423-magic-collector","https://m.exophase.com/apple/awards/s/55gg6e57.png"
"20","DailyChallenge","Challenge Newbie","每日挑战新手","Complete 1 Daily Challenge.","完成1次每日挑战。","CompletedDailyChallenges","1","304414","https://www.exophase.com/achievement/puffies-apple/304414-challenge-newbie","https://m.exophase.com/apple/awards/s/40bb4554.png"
"21","DailyChallenge","Challenge Star","每日挑战之星","Complete 7 Daily Challenges.","完成7次每日挑战。","CompletedDailyChallenges","7","304415","https://www.exophase.com/achievement/puffies-apple/304415-challenge-star","https://m.exophase.com/apple/awards/s/6d33b00e.png"
"22","DailyChallenge","Challenge Superstar","每日挑战超级明星","Complete 21 Daily Challenges.","完成21次每日挑战。","CompletedDailyChallenges","21","304416","https://www.exophase.com/achievement/puffies-apple/304416-challenge-superstar","https://m.exophase.com/apple/awards/s/b844e770.png"
"23","DailyChallenge","Challenge Sticker Head","每日挑战贴纸狂热者","Complete 45 Daily Challenges.","完成45次每日挑战。","CompletedDailyChallenges","45","304417","https://www.exophase.com/achievement/puffies-apple/304417-challenge-sticker-head","https://m.exophase.com/apple/awards/s/gj55g006.png"
"24","DailyChallenge","Challenge Beast","每日挑战猛将","Complete 80 Daily Challenges.","完成80次每日挑战。","CompletedDailyChallenges","80","304418","https://www.exophase.com/achievement/puffies-apple/304418-challenge-beast","https://m.exophase.com/apple/awards/s/dgbb4jj6.png"
"25","Special","Experimentator","实验家","Complete 1 pack in each size without using hints.","在不使用提示的情况下，每种尺寸各完成1个卡包。","HintlessCompletedSizeCount","7","304395","https://www.exophase.com/achievement/puffies-apple/304395-experimentator","https://m.exophase.com/apple/awards/s/gj557bb0.png"
"26","Special","Hint Wrangler","提示驾驭者","Use hints 20 times.","累计使用提示20次。","HintsUsed","20","304412","https://www.exophase.com/achievement/puffies-apple/304412-hint-wrangler","https://m.exophase.com/apple/awards/s/8j00e110.png"
"27","Special","Lykke's Friend","Lykke之友","Check credits.","查看制作人员名单。","CreditsChecked","1","304434","https://www.exophase.com/achievement/puffies-apple/304434-lykkes-friend","https://m.exophase.com/apple/awards/s/3566j373.png"
"28","Special","Meloman","音乐迷","Play the game with the music on for 24 hours in total.","在音乐开启状态下累计游玩24小时。","MusicEnabledSeconds","86400","304411","https://www.exophase.com/achievement/puffies-apple/304411-meloman","https://m.exophase.com/apple/awards/s/00jjb77d.png"
"29","Special","Perfectionist","完美主义者","Solve any collection in all Volumes.","完成任意一个收藏系列在所有卷中的内容。","CollectionCompletedAcrossAllVolumes","1","304400","https://www.exophase.com/achievement/puffies-apple/304400-perfectionist","https://m.exophase.com/apple/awards/s/7755dbbd.png"
"30","Rank","Novice","新手","Get the Novice Rank in the game.","达到新手段位。","RankIndex","1","304424","https://www.exophase.com/achievement/puffies-apple/304424-novice","https://m.exophase.com/apple/awards/s/00jjb70d.png"
"31","Rank","Master","大师","Get the Master Rank in the game.","达到大师段位。","RankIndex","10","304435","https://www.exophase.com/achievement/puffies-apple/304435-master","https://m.exophase.com/apple/awards/s/7755gj07.png"
"32","Rank","Champion","冠军","Get the Champion Rank in the game.","达到冠军段位。","RankIndex","11","304436","https://www.exophase.com/achievement/puffies-apple/304436-champion","https://m.exophase.com/apple/awards/s/55gg6e77.png"
"33","Rank","Elite","精英","Get the Elite Rank in the game","达到精英段位。","RankIndex","12","304437","https://www.exophase.com/achievement/puffies-apple/304437-elite","https://m.exophase.com/apple/awards/s/00jjb73d.png"
"34","Rank","Grandmaster","宗师","Get the Grandmaster Rank in the game.","达到宗师段位。","RankIndex","13","304438","https://www.exophase.com/achievement/puffies-apple/304438-grandmaster","https://m.exophase.com/apple/awards/s/8j00e150.png"
"35","Rank","Hero","英雄","Get the Hero Rank in the game.","达到英雄段位。","RankIndex","14","304439","https://www.exophase.com/achievement/puffies-apple/304439-hero","https://m.exophase.com/apple/awards/s/eegg6d38.png"
"36","Rank","Legend","传奇","Get the Legend Rank in the game.","达到传奇段位。","RankIndex","15","304440","https://www.exophase.com/achievement/puffies-apple/304440-legend","https://m.exophase.com/apple/awards/s/40bb45e4.png"
"37","Rank","Mythic","神话","Get the Mythic Rank in the game.","达到神话段位。","RankIndex","16","356091","https://www.exophase.com/achievement/puffies-apple/356091-mythic","https://m.exophase.com/apple/awards/s/8j4577b7.png"
"38","Rank","Immortal","不朽者","Get the Immortal Rank in the game.","达到不朽者段位。","RankIndex","17","356092","https://www.exophase.com/achievement/puffies-apple/356092-immortal","https://m.exophase.com/apple/awards/s/ee8355j0.png"
"39","Rank","Epic","史诗","Get the Epic Rank in the game.","达到史诗段位。","RankIndex","18","364763","https://www.exophase.com/achievement/puffies-apple/364763-epic","https://m.exophase.com/apple/awards/s/dg881068.png"
"40","Rank","Supreme","至尊","Get the Supreme Rank in the game.","达到至尊段位。","RankIndex","19","364764","https://www.exophase.com/achievement/puffies-apple/364764-supreme","https://m.exophase.com/apple/awards/s/j0115634.png"
"41","Rank","Trainee","见习生","Get the Trainee Rank in the game.","达到见习生段位。","RankIndex","2","304425","https://www.exophase.com/achievement/puffies-apple/304425-trainee","https://m.exophase.com/apple/awards/s/8j00e1j0.png"
"42","Rank","Paragon","典范","Get the Paragon Rank in the game","达到典范段位。","RankIndex","20","364765","https://www.exophase.com/achievement/puffies-apple/364765-paragon","https://m.exophase.com/apple/awards/s/1311074e.png"
"43","Rank","Guardian","守护者","Get the Guardian Rank in the game","达到守护者段位。","RankIndex","21","364766","https://www.exophase.com/achievement/puffies-apple/364766-guardian","https://m.exophase.com/apple/awards/s/354407be.png"
"44","Rank","Exalted","超凡者","Get the Exalted Rank in the game","达到超凡者段位。","RankIndex","22","364767","https://www.exophase.com/achievement/puffies-apple/364767-exalted","https://m.exophase.com/apple/awards/s/77dd4018.png"
"45","Rank","Demigod","半神","Get the Demigod Rank in the game","达到半神段位。","RankIndex","23","364768","https://www.exophase.com/achievement/puffies-apple/364768-demigod","https://m.exophase.com/apple/awards/s/55bb37dd.png"
"46","Rank","Ultimate","终极","Get the Ultimate Rank in the game","达到终极段位。","RankIndex","24","364769","https://www.exophase.com/achievement/puffies-apple/364769-ultimate","https://m.exophase.com/apple/awards/s/0011d35e.png"
"47","Rank","Ascendant","飞升者","Get the Ascendant Rank in the game","达到飞升者段位。","RankIndex","25","364770","https://www.exophase.com/achievement/puffies-apple/364770-ascendant","https://m.exophase.com/apple/awards/s/8j44653d.png"
"48","Rank","Overlord","君主","Get the Overlord Rank in the game","达到君主段位。","RankIndex","26","364771","https://www.exophase.com/achievement/puffies-apple/364771-overlord","https://m.exophase.com/apple/awards/s/ee88135d.png"
"49","Rank","Transcendent","超越者","Get the Transcendent Rank in the game","达到超越者段位。","RankIndex","27","364772","https://www.exophase.com/achievement/puffies-apple/364772-transcendent","https://m.exophase.com/apple/awards/s/40661ed0.png"
"50","Rank","Apprentice","学徒","Get the Apprentice Rank in the game.","达到学徒段位。","RankIndex","3","304426","https://www.exophase.com/achievement/puffies-apple/304426-apprentice","https://m.exophase.com/apple/awards/s/eegg6de8.png"
"51","Rank","Adept","熟练者","Get the Adept Rank in the game.","达到熟练者段位。","RankIndex","4","304427","https://www.exophase.com/achievement/puffies-apple/304427-adept","https://m.exophase.com/apple/awards/s/40bb4504.png"
"52","Rank","Journeyman","行家","Get the Journeyman Rank in the game.","达到行家段位。","RankIndex","5","304428","https://www.exophase.com/achievement/puffies-apple/304428-journeyman","https://m.exophase.com/apple/awards/s/6d33b0de.png"
"53","Rank","Skilled","能手","Get the Skilled Rank in the game.","达到能手段位。","RankIndex","6","304429","https://www.exophase.com/achievement/puffies-apple/304429-skilled","https://m.exophase.com/apple/awards/s/b844e780.png"
"54","Rank","Specialist","专家","Get the Specialist Rank in the game.","达到专家段位。","RankIndex","7","304430","https://www.exophase.com/achievement/puffies-apple/304430-specialist","https://m.exophase.com/apple/awards/s/gj55g0j6.png"
"55","Rank","Expert","精通者","Get the Expert Rank in the game.","达到精通者段位。","RankIndex","8","304431","https://www.exophase.com/achievement/puffies-apple/304431-expert","https://m.exophase.com/apple/awards/s/dgbb4jg6.png"
"56","Rank","Veteran","老手","Get the Veteran Rank in the game.","达到老手段位。","RankIndex","9","304432","https://www.exophase.com/achievement/puffies-apple/304432-veteran","https://m.exophase.com/apple/awards/s/j0ee4b0g.png"
"57","Replay","Recapper","重温者","Replay and complete 10 previously solved Packs.","重玩并完成10个已经解决的卡包。","CompletedReplayPacks","10","304413","https://www.exophase.com/achievement/puffies-apple/304413-recapper","https://m.exophase.com/apple/awards/s/eegg6dd8.png"
"58","Feature","Remaster Keymaster","重制模式钥匙大师","Unlock Remaster Mode in the game","解锁游戏中的重制模式。","RemasterModeUnlocked","1","304441","https://www.exophase.com/achievement/puffies-apple/304441-remaster-keymaster","https://m.exophase.com/apple/awards/s/6d33b07e.png"
"59","Social","Influencer","分享达人","Share one solved puzzle.","分享1张已完成的拼图。","SolvedPuzzleShared","1","304433","https://www.exophase.com/achievement/puffies-apple/304433-influencer","https://m.exophase.com/apple/awards/s/13jjg53b.png"
"60","Sticker","1500 Stickers","1500张贴纸","Collect 1500 stickers in total.","累计收集1500张贴纸。","CollectedStickers","1500","304398","https://www.exophase.com/achievement/puffies-apple/304398-1500-stickers","https://m.exophase.com/apple/awards/s/13jj1bb0.png"
"61","Sticker","200 Stickers","200张贴纸","Collect 200 stickers in total.","累计收集200张贴纸。","CollectedStickers","200","304396","https://www.exophase.com/achievement/puffies-apple/304396-200-stickers","https://m.exophase.com/apple/awards/s/dgbb877g.png"
"62","Sticker","500 Stickers","500张贴纸","Collect 500 stickers in total.","累计收集500张贴纸。","CollectedStickers","500","304397","https://www.exophase.com/achievement/puffies-apple/304397-500-stickers","https://m.exophase.com/apple/awards/s/j0ee1776.png"
"63","Sticker","5000 Stickers","5000张贴纸","Collect 5000 stickers in total.","累计收集5000张贴纸。","CollectedStickers","5000","304399","https://www.exophase.com/achievement/puffies-apple/304399-5000-stickers","https://m.exophase.com/apple/awards/s/35664116.png"
"64","Task","Task Master 12","任务大师12","Complete 12 tasks in the game.","完成游戏中的12个任务。","CompletedTasks","12","304407","https://www.exophase.com/achievement/puffies-apple/304407-task-master-12","https://m.exophase.com/apple/awards/s/13jj1bbb.png"
"65","Task","Task Master 24","任务大师24","Complete 24 tasks in the game.","完成游戏中的24个任务。","CompletedTasks","24","304408","https://www.exophase.com/achievement/puffies-apple/304408-task-master-24","https://m.exophase.com/apple/awards/s/3566j333.png"
"66","Task","Task Master 42","任务大师42","Complete 42 tasks in the game.","完成游戏中的42个任务。","CompletedTasks","42","304409","https://www.exophase.com/achievement/puffies-apple/304409-task-master-42","https://m.exophase.com/apple/awards/s/7755gjj7.png"
"67","Task","Task Master 88","任务大师88","Complete 88 tasks in the game.","完成游戏中的88个任务。","CompletedTasks","88","304410","https://www.exophase.com/achievement/puffies-apple/304410-task-master-88","https://m.exophase.com/apple/awards/s/55gg6ee7.png"
"68","Tutorial","Student","学生","Complete the tutorial","完成新手引导。","TutorialCompleted","1","304387","https://www.exophase.com/achievement/puffies-apple/304387-student","https://m.exophase.com/apple/awards/s/7755db3d.png"
